name,count
A ,80
A.J. ,6
AABAN ,100
AABID ,31
AADAM ,1589
AADAN ,3
AADARSH ,11
AADEN ,26
AADESH ,4
AADHAM ,9
AADHAV ,18
AADHEEN ,3
AADHI ,3
AADHITHYA ,3
AADHVIK ,6
AADI ,151
AADIDEV ,3
AADIL ,555
AADIT ,48
AADITYA ,107
AADVIK ,21
AADYA ,7
AAHAAN ,7
AAHAD ,14
AAHAN ,37
AAHIL ,549
AAJAY ,3
AAKARSH ,3
AAKASH ,105
AAKIF ,13
AALIM ,10
AALIYAAN ,3
AALIYAN ,19
AAMAN ,16
AAMAR ,6
AAMER ,14
AAMIL ,15
AAMIR ,565
AANAV ,4
AANAY ,6
AANIS ,3
AAQIB ,136
AAQIL ,33
AARAF ,3
AARAIZ ,3
AARAN ,440
AARAV ,1203
AAREN ,33
AAREZ ,13
AARI ,8
AARIAN ,56
AARIB ,55
AARIC ,3
AARIF ,22
AARIN ,29
AARIS ,7
AARISH ,39
AARIT ,5
AARIV ,21
AARIYAN ,66
AARIZ ,428
AARNAV ,83
AARO ,3
AARON ,32582
AARONAS ,3
AARONDEEP ,77
AARON-JAMES ,44
AARON-JAY ,7
AARONJIT ,3
AARON-JOHN ,3
AARON-JUNIOR ,10
AARON-LEE ,6
AARONVEER ,14
AAROON ,9
AARRON ,212
AARSH ,3
AARUN ,49
AARUSAN ,3
AARUSH ,342
AARVIN ,7
AARY ,4
AARYA ,49
AARYAN ,901
AARYAV ,13
AARYN ,6
AARYUN ,3
AARYZ ,3
AASHIR ,70
AASHISH ,25
AASHMAN ,3
AASIF ,6
AASIM ,112
AATHAVAN ,11
AATHIRAN ,5
AATHISH ,3
AATIF ,48
AATISH ,4
AAVAI ,4
AAVISH ,3
AAYAAN ,44
AAYAN ,1037
AAYANSH ,15
AAYDEN ,9
AAYUSH ,246
AAZAN ,3
AAZIL ,3
ABAAN ,71
ABAAS ,31
ABAN ,31
ABANOUB ,3
ABAS ,42
ABASS ,39
ABAYOMI ,25
ABBA ,3
ABBAAS ,27
ABBAS ,966
ABBASS ,3
ABD ,138
ABDAAL ,3
ABDAL ,13
ABDALLA ,161
ABDALLAH ,360
ABDALRAHMAN ,10
ABDARAHMAN ,3
ABDEL ,122
ABDELAZIZ ,6
ABDELKADER ,4
ABDELKARIM ,6
ABDELLAH ,29
ABDELMALEK ,9
ABDELMOUMEN ,3
ABDELRAHIM ,3
ABDELRAHMAN ,60
ABDELRAHMANE ,3
ABDERAHMAN ,11
ABDERAHMANE ,4
ABDERRAHMAN ,3
ABDERRAHMANE ,4
ABDI ,278
ABDIASIS ,3
ABDIAZIZ ,44
ABDIFATAH ,67
ABDIHAFID ,11
ABDIHAKIM ,18
ABDIHAKIN ,3
ABDIHAMID ,10
ABDIKADIR ,7
ABDIKARIM ,46
ABDIKARIN ,3
ABDIKHALIQ ,3
ABDILADIF ,4
ABDILAHI ,26
ABDILLAHI ,59
ABDIMAJID ,8
ABDIMAJIID ,3
ABDIMALIK ,102
ABDINASIR ,66
ABDINUR ,3
ABDIQANI ,32
ABDIRAHIIM ,3
ABDIRAHIM ,76
ABDIRAHMAAN ,7
ABDIRAHMAN ,1147
ABDIRASHID ,30
ABDIRAXMAN ,3
ABDIRAZAQ ,3
ABDIRISAK ,3
ABDIRISAQ ,18
ABDIRIZAK ,26
ABDISALAM ,15
ABDISAMAD ,24
ABDISHAKUR ,44
ABDIWAHAB ,3
ABDIWAHID ,3
ABDIWALI ,3
ABDOU ,48
ABDOUL ,34
ABDOULAYE ,20
ABDOULIE ,91
ABDOULLAH ,3
ABDOURAHMAN ,10
ABDRAHMAN ,3
ABDU ,25
ABDUALLAH ,6
ABDUL ,5831
ABDUL- ,19
ABDULA ,9
ABDULAAHI ,14
ABDULAH ,32
ABDULAHAD ,22
ABDUL-AHAD ,41
ABDULAHI ,275
ABDULAI ,18
ABDULALEEM ,3
ABDUL-ALEEM ,3
ABDULAZEEZ ,19
ABDUL-AZEEZ ,24
ABDULAZIZ ,305
ABDUL-AZIZ ,43
ABDUL-BAASIT ,3
ABDULBASIT ,38
ABDUL-BASIT ,8
ABDULFATAH ,3
ABDULHAADI ,3
ABDUL-HAADI ,26
ABDULHADI ,67
ABDUL-HADI ,59
ABDULHAKEEM ,15
ABDUL-HAKEEM ,47
ABDULHAKIM ,28
ABDUL-HAKIM ,6
ABDULHALIM ,3
ABDULHAMEED ,8
ABDULHAMID ,14
ABDUL-HANNAN ,6
ABDUL-HASEEB ,3
ABDULILAH ,3
ABDULJABBAR ,3
ABDULKADER ,3
ABDULKADIR ,129
ABDULKAREEM ,31
ABDUL-KAREEM ,35
ABDULKARIM ,58
ABDUL-KARIM ,11
ABDULKHALIQ ,3
ABDULLA ,172
ABDULLAAH ,70
ABDULLAAHI ,10
ABDULLAH ,5283
ABDULLAHI ,836
ABDULLATEEF ,9
ABDUL-LATEEF ,6
ABDULLATIF ,7
ABDULLOH ,3
ABDULMAJEED ,9
ABDULMAJID ,23
ABDULMALEK ,3
ABDULMALIK ,155
ABDUL-MALIK ,61
ABDUL-MANNAN ,3
ABDUL-MATEEN ,6
ABDUL-MOMIN ,5
ABDUL-MUIZ ,3
ABDULMUIZZ ,3
ABDUL-NASIR ,3
ABDULQADIR ,63
ABDUL-QADIR ,4
ABDUL-QAYYUM ,3
ABDULRAHEEM ,73
ABDUL-RAHEEM ,102
ABDULRAHIM ,75
ABDUL-RAHIM ,23
ABDULRAHMAN ,891
ABDUL-RAHMAN ,156
ABDULREHMAN ,38
ABDUL-REHMAN ,21
ABDULRHMAN ,4
ABDULSALAM ,29
ABDULSAMAD ,36
ABDUL-SAMAD ,10
ABDUL-SAMI ,22
ABDUL-WADOOD ,3
ABDUL-WAHAAB ,3
ABDULWAHAB ,59
ABDUL-WAHAB ,3
ABDULWAHHAB ,6
ABDUL-WAHHAB ,12
ABDULWAHID ,5
ABDUL-WASAY ,3
ABDUR ,552
ABDURAHEEM ,3
ABDURAHIM ,3
ABDURAHMAN ,323
ABDUR-RAFAY ,3
ABDURRAHEEM ,69
ABDUR-RAHEEM ,106
ABDURRAHIM ,10
ABDUR-RAHIM ,9
ABDURRAHMAAN ,68
ABDUR-RAHMAAN ,83
ABDURRAHMAN ,489
ABDUR-RAHMAN ,374
ABDURREHMAN ,11
ABDUR-REHMAN ,37
ABDUS ,106
ABDUSALAM ,3
ABDUSSALAM ,7
ABDUSSAMAD ,7
ABDUS-SAMAD ,19
ABDUS-SAMI ,7
ABE ,137
ABED ,25
ABEED ,3
ABEEL ,3
ABEER ,42
ABEL ,1172
ABEN ,3
ABENEZER ,11
ABHAY ,155
ABHI ,28
ABHIJAY ,8
ABHIJEET ,18
ABHIJIT ,3
ABHIJITH ,3
ABHIJOT ,32
ABHIMANYU ,21
ABHINAV ,182
ABHIRAJ ,40
ABHIRAM ,46
ABHISHEK ,127
ABID ,393
ABIDEEN ,3
ABIDUL ,7
ABIDUR ,50
ABIE ,12
ABIEL ,16
ABIJAH ,3
ABIJOT ,3
ABILASH ,9
ABIMBOLA ,4
ABINAASH ,3
ABINASH ,25
ABINAYAN ,3
ABINESH ,9
ABIODUN ,9
ABIOLA ,25
ABIR ,132
ABIRAJ ,3
ABISAN ,11
ABISHAI ,3
ABISHAKE ,3
ABISHAN ,45
ABISHANTH ,3
ABISHEK ,25
ABITHAN ,3
ABIZER ,5
ABNER ,23
ABOU ,3
ABOUBACAR ,24
ABOUBAKAR ,6
ABRAAR ,21
ABRAHAM ,1277
ABRAHIM ,48
ABRAM ,52
ABRAR ,139
ABRIEL ,4
ABSAR ,15
ABSHIR ,21
ABU ,923
ABUBACARR ,26
ABUBAKAR ,599
ABU-BAKAR ,35
ABUBAKARR ,7
ABUBAKER ,83
ABUBAKKAR ,4
ABUBAKR ,383
ABU-BAKR ,238
ABU-HURAIRA ,6
ABUHURAIRAH ,3
ABUKAR ,27
ABUL ,130
ABU-SUFYAN ,3
ABUZAR ,17
ABYAAN ,8
ABYAD ,3
ABYAN ,108
ACE ,420
ACER ,184
ACEY ,3
ACHILLE ,10
ACHILLEAS ,3
ACHILLES ,45
ACHINTYA ,7
ACHRAF ,3
ACKEEM ,7
ADA ,24
ADAAM ,20
ADAIR ,17
ADAL ,36
ADAM ,59824
ADAMA ,18
ADAMAS ,64
ADAM-JAMES ,3
ADAM-JUNIOR ,18
ADAMO ,3
ADAMS ,12
ADAN ,256
ADAR ,55
ADARSH ,67
ADAS ,50
ADDAI ,3
ADDAM ,19
ADDIS ,3
ADDISON ,821
ADDYSON ,3
ADE ,6
ADEBAYO ,33
ADEBOLA ,6
ADEBOWALE ,21
ADEBOYE ,3
ADEDAMOLA ,67
ADEDAPO ,11
ADEDAYO ,25
ADEDEJI ,21
ADEDOLAPO ,4
ADEDOTUN ,9
ADEDOYIN ,3
ADEE ,3
ADEEB ,183
ADEEL ,516
ADEEM ,6
ADEEN ,6
ADEKUNLE ,17
ADEL ,212
ADELEKE ,3
ADELIN ,3
ADEM ,556
ADEMAYOWA ,3
ADEMIDE ,28
ADEMOLA ,86
ADEN ,880
ADENIYI ,7
ADEOLA ,12
ADEOLU ,6
ADEOLUWA ,40
ADEREMI ,3
ADESH ,10
ADETAYO ,9
ADETOKUNBO ,39
ADETOLA ,12
ADETOMIWA ,4
ADETUNJI ,3
ADEWALE ,34
ADEWUMI ,3
ADEYEMI ,18
ADEYINKA ,3
ADHAM ,175
ADHAVAN ,3
ADHEEM ,3
ADHEEN ,3
ADHIRAJ ,4
ADHNAN ,6
ADHRIT ,32
ADHVAITH ,3
ADHVIK ,12
ADI ,130
ADIAN ,8
ADIB ,62
ADIE ,15
ADIEL ,15
ADIL ,1838
ADILSON ,3
ADIN ,36
ADISA ,3
ADISON ,43
ADIT ,35
ADITH ,3
ADITHYA ,64
ADITYA ,639
ADIY ,18
ADIYAAN ,3
ADIYAN ,39
ADLANE ,3
ADLER ,3
ADLEY ,55
ADNAAN ,232
ADNAN ,1209
ADOM ,10
ADOMAS ,111
ADON ,53
ADONAI ,51
ADONAY ,23
ADONIJAH ,11
ADONIS ,101
ADREES ,18
ADRIAAN ,6
ADRIAN ,3806
ADRIANAS ,7
ADRIANO ,160
ADRIANS ,83
ADRIATIK ,3
ADRIEL ,208
ADRIEN ,145
ADRIJUS ,41
ADRIN ,3
ADRIS ,11
ADSHAYAN ,3
ADVAIT ,26
ADVAITH ,37
ADVAY ,40
ADVIK ,90
ADVIT ,6
ADVITH ,6
ADWIN ,4
ADY ,9
ADYAAN ,35
ADYAN ,461
AEDAN ,357
AEDDAN ,16
AEDEN ,19
AELFRED ,6
AENEAS ,6
AENGUS ,22
AEON ,3
AERON ,235
AESON ,4
AFAAN ,9
AFAN ,18
AFAQ ,3
AFEEF ,10
AFFAAN ,25
AFFAN ,214
AFIQ ,3
AFJOL ,3
AFNAAN ,3
AFNAN ,56
AFOLABI ,23
AFOLARIN ,3
AFON ,3
AFONSO ,104
AFRAZ ,22
AFSAR ,6
AFTAB ,45
AFZAAL ,9
AFZAL ,75
AGAM ,32
AGAMBIR ,4
AGAMDEEP ,7
AGAMJOT ,22
AGAMPREET ,7
AGAMVEER ,10
AGASTHYA ,4
AGASTYA ,70
AGHA ,32
AGIM ,3
AGIT ,10
AGNIUS ,3
AGON ,6
AGRIM ,3
AGRON ,3
AGUSTIN ,21
AHAAN ,55
AHAB ,3
AHAD ,302
AHAMED ,30
AHAN ,21
AHARAN ,3
AHARON ,116
AHCENE ,3
AHEED ,7
AHIL ,36
AHMAD ,2504
AHMADOU ,4
AHMAD-RAZA ,3
AHMAR ,7
AHMED ,5958
AHMED-RAZA ,7
AHMER ,9
AHMET ,365
AHNAF ,107
AHREN ,36
AHRON ,71
AHSAAN ,9
AHSAN ,429
AHSANUL ,10
AHSEN ,18
AHTISHAM ,4
AHTSHAM ,3
AHYAAN ,44
AHYAN ,201
AIAN ,7
AIDAAN ,7
AIDAN ,14550
AIDAN-JAMES ,10
AIDAS ,17
AIDEN ,12051
AIDEN-JAMES ,35
AIDEN-JAY ,11
AIDEN-LEE ,15
AIDON ,24
AIDY ,9
AIDYN ,27
AIHAM ,5
AIJAZ ,3
AIKAM ,3
AIKEN ,15
AILAN ,3
AILBE ,71
AILBHE ,3
AIMAL ,3
AIMAN ,163
AIMAR ,9
AIME ,3
AIMEN ,28
AINSLEIGH ,3
AINSLEY ,248
AINSLIE ,3
AIREN ,7
AIRIDAS ,25
AIRON ,30
AIRONAS ,62
AISA ,3
AISEA ,3
AISOSA ,3
AISSA ,3
AISTIS ,20
AITOR ,7
AIVARAS ,5
AIYAAN ,4
AIYAN ,6
AIYAZ ,11
AIYUSH ,3
AIZEN ,5
AJ ,218
AJAI ,79
AJAIB ,4
AJAN ,24
AJANI ,90
AJANTHAN ,3
AJAX ,6
AJAY ,1545
A-JAY ,84
AJAZ ,3
AJEET ,100
AJESH ,3
AJHAR ,6
AJIBOLA ,9
AJIT ,71
AJMAL ,112
AJUS ,17
AJWAD ,42
AKAAL ,62
AKAALDEEP ,3
AKAASH ,123
AKACHUKWU ,7
AKAI ,17
AKAIN ,10
AKAL ,3
AKAM ,28
AKAN ,3
AKAR ,7
AKARAN ,5
AKARSH ,7
AKASH ,527
AKASHDEEP ,12
AKAY ,8
AKBAR ,186
AKBER ,6
AKEAL ,6
AKEEB ,23
AKEEL ,225
AKEEM ,294
AKEIN ,11
AKHEEL ,3
AKHIL ,152
AKHLAQ ,4
AKHTAR ,10
AKI ,3
AKIA ,3
AKIB ,59
AKIEL ,12
AKIF ,124
AKIKUR ,3
AKIL ,107
AKIM ,46
AKIN ,48
AKINLOLU ,3
AKINOLA ,12
AKINTAYO ,7
AKINTOMIWA ,3
AKINTUNDE ,12
AKINYEMI ,3
AKIO ,3
AKIRA ,156
AKITO ,9
AKIVA ,150
AKMAL ,65
AKOREDE ,23
AKOS ,17
AKRAM ,419
AKSAYAN ,7
AKSEL ,82
AKSH ,21
AKSHAJ ,42
AKSHAN ,8
AKSHAR ,59
AKSHARAN ,7
AKSHAT ,51
AKSHATH ,3
AKSHAY ,405
AKSHAYAN ,65
AKSHAYE ,4
AKSHAYEN ,5
AKSHIT ,4
AKSHITH ,11
AKWASI ,17
AL ,203
ALA ,3
ALAA ,30
ALAGIE ,6
ALAIN ,41
ALAM ,16
ALAMEEN ,3
AL-AMEEN ,41
ALAMIN ,31
AL-AMIN ,71
ALAN ,4286
ALANAS ,13
ALAND ,171
ALANS ,3
ALARIC ,66
ALARIK ,3
